UNIQUE_ID,DATE,DISTRICT_CURRENT,VDC_MUNICIPALITY,WARD_CURRENT,CASTE_ETHNICITY,SEX_OF_RESPONDENTS,AGE_OF_RESPONDENTS,EDUCATION_OF_RESPONDENTS,WALKING_DISTANCE,Household_Size,Highest_Education,Primary_Occupation,Income,Damage_Category,Months_Recon,Recon_Completed,Amount_Spent,Govt_Grant,Home_Safe,Satisfaction_Level,Freedom_Choice
15222,2018-12-07,2,2,2,44,1,49,7,8,4,2,1,1,3,3,100,150000,300000,1,5,5
25221,2018-12-07,2,2,1,44,1,34,1,4,5,2,3,2,4,1,100,370000,300000,1,5,4
35225,2018-12-08,2,2,5,44,1,30,3,8,2,3,1,3,3,1,100,80000,300000,1,3,3
45225,2018-12-08,2,2,5,44,1,48,7,4,4,3,1,2,3,3,100,100000,200000,0,1,1
55227,2018-12-08,2,2,7,44,1,60,1,4,2,4,1,3,4,3,100,200000,200000,1,5,5
65227,2018-12-08,2,2,7,44,1,25,3,6,3,4,1,6,3,,100,300000,0,0,2,5
95225,2018-12-09,2,2,5,44,1,30,1,6,2,1,1,3,4,,80,600000,300000,1,10,10
105225,2018-12-09,2,2,5,44,1,62,7,8,5,3,4,1,3,,60,380000,300000,1,6,9
115227,2018-12-09,2,2,7,67,1,60,7,8,2,7,3,1,4,,40,50000,50000,1,10,10
125224,2018-12-09,2,2,4,27,1,21,2,8,6,2,1,7,4,,80,300000,300000,-1,7,6
155224,2018-12-09,2,2,4,9,1,30,2,8,5,2,3,3,4,3,100,300000,300000,1,2,2
175226,2018-12-10,2,2,6,44,2,28,7,8,2,2,1,7,3,1,100,350000,0,0,3,2
185226,2018-12-10,2,2,6,44,1,24,2,8,5,7,1,7,3,3,100,150000,0,0,2,2
195228,2018-12-10,2,2,8,44,1,38,7,8,8,7,1,2,4,4,100,600000,200000,1,5,5
205228,2018-12-10,2,2,8,44,1,32,2,8,6,2,1,4,4,2,100,500000,200000,1,8,6
215228,2018-12-10,2,2,8,9,1,32,2,8,5,2,1,7,4,,60,220000,200000,-1,6,5
225223,2018-12-10,2,2,3,44,1,70,7,4,7,2,1,2,4,,80,400000,200000,1,5,5
235223,2018-12-10,2,2,3,44,1,43,2,5,9,3,1,3,4,,100,300000,300000,1,10,9
245221,2018-12-11,2,2,1,9,1,27,1,6,4,2,3,2,4,,20,125000,50000,1,6,6
255221,2018-12-11,2,2,1,44,1,50,7,4,12,3,1,2,4,,100,400000,300000,1,5,5
265215,2018-12-13,2,1,5,29,1,25,3,0,4,3,1,3,4,,20,60000,50000,1,5,5
275215,2018-12-13,2,1,5,29,2,58,1,0,6,2,1,3,4,,80,280000,50000,1,10,9
285214,2018-12-13,2,1,4,27,2,27,3,0,7,4,1,5,4,3,100,1200000,300000,1,7,6
295215,2018-12-13,2,1,5,29,2,30,1,0.25,4,3,1,3,4,,20,40000,50000,1,5,5
305213,2018-12-13,2,1,3,77,2,35,7,0.33,2,3,1,3,4,,80,450000,250000,1,7,6
315213,2018-12-13,2,1,3,77,1,72,2,0.25,16,2,1,2,4,,80,900000,200000,1,7,7
325213,2018-12-13,2,1,3,77,1,57,2,0.25,5,3,1,4,4,,60,800000,300000,1,6,6
335213,2018-12-13,2,1,3,27,2,34,7,0,5,2,3,4,4,,20,30000,200000,-1,5,5
345211,2018-12-14,2,1,1,44,1,26,2,0,4,2,1,2,4,,20,50000,50000,1,5,5
355213,2018-12-14,2,1,3,27,2,33,7,0,5,2,1,2,3,,100,500000,200000,1,5,5
365211,2018-12-14,2,1,1,27,1,45,1,0,4,2,1,3,4,,20,20000,50000,1,6,6
375212,2018-12-14,2,1,2,27,1,52,2,0,9,2,1,2,4,,20,800000,200000,1,7,7
385211,2018-12-14,2,1,1,27,1,44,2,0,5,2,1,3,4,,20,50000,150000,-1,5,5
395211,2018-12-14,2,1,1,44,2,33,7,0,4,2,1,2,4,1,100,800000,50000,1,5,5
405212,2018-12-14,2,1,2,9,2,40,7,0,6,2,2,2,4,3,100,700000,150000,1,5,5
415212,2018-12-14,2,1,2,44,1,40,2,0,5,2,1,2,4,,20,70000,50000,1,6,7
425216,2018-12-15,2,1,6,29,1,51,2,0,4,3,1,3,4,,20,35000,200000,1,3,8
435216,2018-12-15,2,1,6,29,1,55,2,0,6,4,1,3,4,1,100,400000,200000,1,8,5
455216,2018-12-15,2,1,6,117,1,75,7,0.25,7,2,1,2,4,3,100,1000000,300000,1,6,4
465216,2018-12-15,2,1,6,52,1,21,2,0,3,2,1,3,4,,80,700000,200000,1,9,8
475216,2018-12-15,2,1,6,29,2,35,7,0,4,3,4,3,4,2,100,600000,200000,1,8,7
485216,2018-12-15,2,1,6,29,1,72,1,0,15,3,1,3,4,19,100,700000,200000,1,6,5
495216,2018-12-15,2,1,6,29,1,54,1,0,7,3,1,4,4,2,100,1200000,300000,1,8,4
505218,2018-12-16,2,1,8,29,1,51,2,0,5,4,1,4,4,,80,800000,200000,1,6,6
515218,2018-12-16,2,1,8,29,2,37,2,0.25,3,2,4,1,4,4,100,550000,200000,1,7,6
525217,2018-12-16,2,1,7,77,1,60,2,0,6,3,1,6,4,3,100,1000000,50000,-1,6,5
535217,2018-12-16,2,1,7,77,2,40,1,0.25,7,3,1,4,4,3,100,700000,200000,1,5,3
545217,2018-12-16,2,1,7,77,1,37,2,0,5,3,1,4,4,,80,150000,200000,1,8,7
555217,2018-12-16,2,1,7,77,1,54,2,0.33,2,2,1,2,4,,80,150000,200000,1,7,5
565217,2018-12-16,2,1,7,27,1,65,7,0.5,6,2,1,2,4,,60,250000,200000,1,6,3
575218,2018-12-16,2,1,8,29,1,64,1,0,5,3,1,2,4,,40,200000,200000,1,7,5
585218,2018-12-16,2,1,8,125,1,40,2,0,4,3,1,7,4,3,100,700000,300000,1,8,6
595219,2018-12-17,2,1,9,125,1,26,2,0,5,2,4,2,4,4,100,400000,300000,1,9,8
605219,2018-12-17,2,1,9,125,1,69,2,0,7,4,1,6,4,,80,300000,200000,1,6,7
615219,2018-12-17,2,1,9,125,1,71,7,0,5,3,1,3,4,30,100,700000,200000,1,6,6
625219,2018-12-17,2,1,9,125,2,45,1,0,10,3,1,3,4,,80,300000,300000,1,8,6
635219,2018-12-17,2,1,9,125,1,50,2,0,5,3,3,2,4,,80,400000,200000,1,5,4
14222,2018-12-07,2,2,2,44,1,24,2,8,4,2,4,3,4,,80,350000,0,0,7,6
24222,2018-12-07,2,2,2,44,2,39,1,4,4,3,1,2,4,1,100,600000,0,1,5,5
44225,2018-12-08,2,2,5,44,1,48,7,8,4,3,1,2,3,1,100,55000,0,1,1,10
54227,2018-12-08,2,2,7,44,1,20,2,3,4,4,4,3,4,4,100,100000,50000,0,5,6
64225,2018-12-09,2,2,5,44,1,20,2,8,6,4,1,2,3,,80,150000,0,0,1,1
74225,2018-12-09,2,2,5,44,1,60,7,4,2,2,1,7,3,1,100,200000,0,-1,3,1
84225,2018-12-09,2,2,5,44,1,26,3,6,2,3,4,3,3,6,100,350000,200000,1,4,1
94227,2018-12-09,2,2,7,44,1,27,1,8,7,1,1,3,4,,80,800000,300000,1,5,10
104224,2018-12-09,2,2,4,27,1,48,1,6,5,5,1,2,4,1,100,450000,300000,1,8,8
114224,2018-12-09,2,2,4,27,1,60,7,8,6,3,1,2,3,2,100,400000,200000,-1,5,5
124224,2018-12-09,2,2,4,27,1,67,7,6,2,3,1,3,4,1,100,300000,200000,1,1,1
134226,2018-12-10,2,2,6,44,2,28,7,8,6,2,1,2,4,,40,250000,200000,-1,5,5
144226,2018-12-10,2,2,6,44,1,30,1,5,4,1,4,3,4,,80,450000,200000,1,7,8
154226,2018-12-10,2,2,6,44,1,29,1,7,6,1,4,4,4,,80,360000,200000,1,10,9
164228,2018-12-10,2,2,8,44,1,23,2,8,9,2,1,2,4,4,100,350000,200000,1,8,5
174228,2018-12-10,2,2,8,44,1,52,1,8,4,2,1,2,4,,40,300000,200000,1,4,3
184228,2018-12-10,2,2,8,44,2,24,2,8,6,2,4,2,4,1,100,400000,200000,1,5,10
194223,2018-12-10,2,2,3,44,1,36,7,8,6,2,4,3,4,6,100,600000,300000,1,10,10
204223,2018-12-10,2,2,3,44,1,50,1,5,15,2,1,3,4,,20,90000,50000,1,10,10
214221,2018-12-11,2,2,1,44,1,45,1,5,4,2,4,3,4,1,100,400000,300000,1,5,5
224221,2018-12-11,2,2,1,44,1,24,4,4,7,4,1,4,4,1,100,350000,50000,0,8,2
234214,2018-12-13,2,1,4,27,1,71,1,0,2,2,1,3,4,4,100,1400000,200000,1,5,5
244214,2018-12-13,2,1,4,29,2,31,2,0,1,2,1,2,4,,20,650000,200000,1,10,7
254215,2018-12-13,2,1,5,29,1,65,2,0,5,4,1,5,4,2,100,850000,200000,1,8,8
264216,2018-12-13,2,1,6,27,1,40,2,0,3,2,1,1,4,1,100,150000,200000,1,5,5
274213,2018-12-13,2,1,3,27,1,53,2,0,5,3,1,2,4,1,100,365000,50000,1,7,5
284213,2018-12-13,2,1,3,77,1,33,2,0.25,4,2,1,1,4,,80,800000,300000,1,8,8
294213,2018-12-13,2,1,3,77,1,68,1,0.33,7,4,1,2,4,2,100,1000000,200000,1,7,9
304213,2018-12-13,2,1,3,77,1,45,7,0.33,5,2,1,2,4,17,100,800000,300000,1,7,7
314211,2018-12-14,2,1,1,44,1,56,7,0,4,2,1,2,3,,40,500000,50000,1,7,5
324211,2018-12-14,2,1,1,27,1,75,7,0.25,8,2,1,1,4,1,100,800000,200000,1,6,7
334211,2018-12-14,2,1,1,44,1,29,7,0,3,7,4,3,4,,80,700000,200000,1,5,5
344211,2018-12-14,2,1,1,27,1,67,7,0.25,3,2,1,2,4,,80,550000,50000,1,5,5
354211,2018-12-14,2,1,1,27,1,54,7,0,2,3,1,1,3,,40,350000,50000,1,10,2
364212,2018-12-14,2,1,2,44,1,55,1,0,8,1,1,3,4,19,100,350000,200000,1,2,3
374212,2018-12-14,2,1,2,9,2,40,7,0,3,7,1,3,4,11,100,700000,200000,1,5,5
384212,2018-12-14,2,1,2,44,1,72,7,0,4,2,1,2,4,,40,200000,200000,1,8,9
394212,2018-12-14,2,1,2,27,1,43,2,0,10,3,1,3,4,3,100,1400000,200000,1,8,10
404216,2018-12-15,2,1,6,29,1,47,7,0,3,2,1,3,4,1,100,750000,200000,1,10,5
414216,2018-12-15,2,1,6,29,1,40,2,0,5,3,1,4,4,1,100,600000,200000,1,10,10
424216,2018-12-15,2,1,6,77,1,62,2,0,5,4,1,3,4,8,100,703000,200000,0,8,5
434216,2018-12-15,2,1,6,29,1,58,2,0,6,3,1,3,4,,80,700000,200000,1,9,10
444216,2018-12-15,2,1,6,29,2,24,2,0,7,3,1,2,4,2,100,1000000,200000,1,4,5
454216,2018-12-15,2,1,6,29,1,50,2,0,2,3,3,2,4,9,100,600000,200000,1,9,10
464216,2018-12-15,2,1,6,29,1,62,1,0.33,3,4,4,3,4,,40,250000,200000,1,3,1
474216,2018-12-15,2,1,6,29,1,79,7,0.25,6,4,1,4,4,1,100,1700000,0,1,7,9
484216,2018-12-15,2,1,6,29,1,57,1,0.33,2,1,1,1,4,2,100,600000,200000,1,10,10
494216,2018-12-15,2,1,6,29,1,33,2,0,5,2,1,1,4,,80,300000,200000,1,8,10
504218,2018-12-16,2,1,8,29,2,32,2,0,4,2,1,3,4,1,100,600000,200000,1,10,1
514218,2018-12-16,2,1,8,29,2,40,7,0,8,3,1,2,4,2,100,950000,50000,1,10,8
524218,2018-12-16,2,1,8,29,1,42,2,0,6,2,1,4,4,3,100,950000,200000,1,8,5
534217,2018-12-16,2,1,7,77,1,56,1,0.5,3,3,1,2,4,,20,50000,50000,1,10,7
544217,2018-12-16,2,1,7,77,1,60,2,1,2,4,1,3,4,2,100,900000,50000,1,10,10
554217,2018-12-16,2,1,7,77,1,70,1,1,2,2,1,2,4,1,100,700000,50000,1,9,8
564217,2018-12-16,2,1,7,77,1,45,3,1,5,4,1,3,4,,20,200000,50000,1,10,9
574217,2018-12-16,2,1,7,125,1,51,1,1,5,3,1,3,4,4,100,600000,300000,1,10,9
584217,2018-12-16,2,1,7,125,1,67,2,0.5,4,4,1,3,4,1,100,375000,50000,1,10,10
594217,2018-12-16,2,1,7,27,2,45,7,1,2,3,4,2,4,,20,150000,200000,1,5,5
604218,2018-12-16,2,1,8,77,2,40,7,0,3,2,1,2,4,2,100,700000,200000,1,10,7
614218,2018-12-16,2,1,8,29,2,37,7,0,4,2,1,2,4,,20,50000,50000,1,10,5
624219,2018-12-17,2,1,9,125,2,65,7,0,5,4,1,3,4,,80,300000,200000,1,10,2
634219,2018-12-17,2,1,9,125,2,45,7,0,9,2,1,2,4,3,100,400000,200000,1,10,10
644219,2018-12-17,2,1,9,125,1,60,7,0,3,3,1,4,4,15,100,400000,50000,1,7,10
654219,2018-12-17,2,1,9,125,2,41,7,0,4,3,1,2,4,15,100,200000,200000,1,5,5
664219,2018-12-17,2,1,9,125,1,64,7,0,2,2,1,3,4,2,100,300000,200000,1,10,10
13222,2018-12-07,2,2,2,44,1,38,1,3,7,2,4,3,4,3,100,500000,300000,1,5,5
23222,2018-12-07,2,2,2,44,1,33,1,4,9,2,2,4,4,5,100,350000,300000,1,6,3
33222,2018-12-07,2,2,2,44,2,25,7,5,10,1,1,4,4,,40,100000,50000,1,6,4
43222,2018-12-07,2,2,2,44,1,40,7,3,3,1,4,4,4,4,100,500000,300000,1,7,4
53225,2018-12-09,2,2,5,29,2,48,7,6,6,3,3,3,4,2,100,600000,300000,1,5,6
63227,2018-12-08,2,2,7,44,2,28,2,8,7,2,1,3,4,2,100,250000,0,-1,4,5
73227,2018-12-08,2,2,7,44,2,48,7,8,7,2,1,3,4,12,100,400000,300000,-1,7,4
83227,2018-12-08,2,2,7,44,1,62,7,8,7,2,4,3,4,,80,600000,0,1,5,9
93227,2018-12-08,2,2,7,44,1,22,2,6,5,2,4,4,4,,20,60000,50000,-1,5,4
133224,2018-12-09,2,2,4,9,2,41,7,7,6,2,4,3,4,1,100,600000,300000,-1,6,5
143224,2018-12-09,2,2,4,27,2,60,7,8,9,5,4,5,4,2,100,-1,300000,1,7,6
153224,2018-12-09,2,2,4,9,1,48,1,8,10,4,4,3,4,5,100,500000,200000,1,7,4
163224,2018-12-09,2,2,4,9,1,36,2,6,5,2,2,3,4,3,100,800000,300000,1,5,3
173227,2018-12-09,2,2,7,44,1,30,2,6,4,2,3,3,3,1,100,50000,0,1,5,5
193226,2018-12-10,2,2,6,44,2,85,7,8,5,7,1,3,4,,80,320000,50000,1,8,3
203226,2018-12-10,2,2,6,44,1,26,2,6,3,2,5,3,4,,60,250000,200000,1,8,7
213228,2018-12-10,2,2,8,44,1,62,7,6,3,2,4,2,4,6,100,450000,200000,1,7,7
233228,2018-12-10,2,2,8,44,2,58,7,8,8,3,1,2,4,4,100,400000,300000,1,5,4
243223,2018-12-10,2,2,3,44,1,52,1,5,5,2,2,3,4,3,100,450000,300000,1,8,6
253223,2018-12-10,2,2,3,44,1,47,7,6,7,2,1,2,4,3,100,330000,300000,1,6,6
263221,2018-12-11,2,2,1,44,2,18,2,5,6,3,1,4,4,4,100,450000,300000,1,8,6
273221,2018-12-11,2,2,1,44,2,23,7,5,3,2,1,4,4,,40,160000,50000,1,5,5
283215,2018-12-13,2,1,5,27,2,45,2,0,4,3,1,2,4,3,100,700000,200000,1,8,6
293215,2018-12-13,2,1,5,29,2,40,1,0,7,3,1,3,4,8,100,875000,200000,1,8,8
303215,2018-12-13,2,1,5,29,1,69,1,0,6,3,1,4,4,,20,60000,50000,1,5,4
313215,2018-12-13,2,1,5,29,1,76,7,0,6,3,1,4,4,2,100,700000,200000,1,6,3
323213,2018-12-13,2,1,3,27,1,63,1,0,4,2,1,4,4,1,100,500000,300000,1,8,6
333213,2018-12-13,2,1,3,77,1,58,3,0,7,5,1,6,4,2,100,700000,200000,1,10,8
343213,2018-12-13,2,1,3,77,2,39,1,0,5,2,1,2,4,3,100,500000,200000,1,9,7
352135,2018-12-13,2,1,3,77,1,56,2,0.25,6,4,4,2,4,,80,400000,300000,1,7,3
363211,2018-12-14,2,1,1,27,2,65,7,0,2,7,1,4,4,1,100,450000,300000,1,6,7
373211,2018-12-14,2,1,1,27,2,32,1,0,4,2,1,2,4,,80,300000,50000,1,5,4
383211,2018-12-14,2,1,1,44,2,32,1,0,4,2,1,7,4,,40,110000,50000,1,7,4
393211,2018-12-14,2,1,1,44,2,36,7,0,5,3,1,2,4,,20,200000,200000,1,4,4
403211,2018-12-14,2,1,1,27,1,68,7,0,6,2,1,3,4,2,100,600000,200000,1,8,7
413211,2018-12-14,2,1,1,27,2,35,7,0,6,2,1,4,4,2,100,-1,200000,-1,4,4
423212,2018-12-14,2,1,2,27,1,42,2,0,8,3,1,4,4,,80,800000,50000,1,7,3
433212,2018-12-14,2,1,2,27,2,53,7,0,5,2,1,3,4,2,100,1000000,200000,1,8,7
443212,2018-12-14,2,1,2,27,2,66,7,0,5,7,1,2,4,,20,40000,50000,1,4,6
453212,2018-12-14,2,1,2,27,1,39,2,0,7,2,1,5,4,15,100,1050000,200000,1,8,6
463212,2018-12-14,2,1,2,44,2,38,7,0,5,2,1,4,4,2,100,1000000,200000,1,5,6
473216,2018-12-15,2,1,6,67,2,40,7,0,5,4,1,4,4,1,100,-1,200000,1,7,7
483216,2018-12-15,2,1,6,67,2,28,1,0,6,2,1,4,4,3,100,600000,200000,1,7,8
493216,2018-12-15,2,1,6,67,2,65,7,0,6,3,1,2,4,,20,50000,50000,1,6,3
503216,2018-12-15,2,1,6,67,1,39,2,0,5,2,4,3,4,,80,500000,200000,1,7,3
523216,2018-12-15,2,1,6,29,2,53,7,0,5,3,1,4,4,1,100,600000,200000,1,5,4
533216,2018-12-15,2,1,6,29,2,70,7,0,3,3,1,4,4,2,100,650000,200000,1,5,3
543216,2018-12-15,2,1,6,29,2,55,7,0,7,3,1,4,4,1,100,800000,200000,1,5,7
553216,2018-12-15,2,1,6,29,1,42,2,0.25,4,3,4,4,4,2,100,800000,200000,1,5,7
563218,2018-12-16,2,1,8,29,2,40,1,0.33,4,3,1,4,4,1,100,600000,200000,1,7,7
573218,2018-12-16,2,1,8,29,2,36,7,0.25,6,3,1,3,4,,20,60000,200000,1,6,5
583217,2018-12-16,2,1,7,84,2,40,2,1,5,2,1,3,4,2,100,500000,300000,1,5,5
593217,2018-12-16,2,1,7,77,1,56,4,1,7,5,1,4,4,,80,850000,200000,1,8,7
603217,2018-12-16,2,1,7,77,1,81,1,1,5,5,1,5,4,,80,550000,200000,1,7,7
613217,2018-12-16,2,1,7,125,2,50,7,0.5,6,2,1,4,4,,80,400000,200000,1,6,7
623217,2018-12-16,2,1,7,27,2,48,7,0,7,3,2,3,4,,80,250000,200000,1,6,7
633217,2018-12-16,2,1,7,27,2,40,1,1,4,2,1,3,4,5,100,700000,300000,1,7,7
643218,2018-12-16,2,1,8,9,2,31,7,0,3,7,1,3,4,14,100,550000,200000,1,6,7
653218,2018-12-16,2,1,8,77,2,38,2,0,6,3,1,7,4,,80,450000,200000,1,10,4
663219,2018-12-17,2,1,9,125,2,55,7,0,6,3,3,4,4,1,100,500000,200000,1,7,6
683219,2018-12-17,2,1,9,84,2,26,2,0.33,5,2,1,3,4,2,100,300000,200000,1,9,6
693219,2018-12-17,2,1,9,84,2,28,2,0,5,1,1,2,4,2,100,300000,200000,1,9,8
703219,2018-12-17,2,1,9,84,2,50,7,0.4,5,3,1,2,4,1,100,400000,200000,1,7,7
12222,2018-12-07,2,2,2,44,1,42,1,4,4,2,4,3,4,1,100,200000,300000,1,6,5
32221,2018-12-07,2,2,1,44,1,34,1,6,8,2,3,3,4,1,100,300000,300000,1,6,6
42221,2018-12-07,2,2,1,9,1,22,2,4,9,2,3,3,3,1,100,250000,300000,1,10,6
62227,2018-12-08,2,2,7,44,1,27,2,8,8,4,1,2,3,,40,120000,70000,1,8,5
